date,returns,dbc,hyg,ief,spy,united-states-ig-oas-all-sector,united-states-hy-oas-all-sector,united-states-cmt10y
2019-05-01,0.00077104,-0.0031124,-0.0032586,-0.000456,-0.0075449,1.04484755953807,2.56190918809631,2.52
2019-05-02,-0.0005557,-0.0112854,0.00069509,-0.0028439,-0.0021613,1.0663611879329,2.56296728400282,2.55
2019-05-03,0.00130575,0.00063032,0.00254453,0.00132815,0.00974017,1.07256587487449,2.53750196753297,2.54
2019-05-06,-0.0002938,0.00314565,0.00046195,0.00255646,-0.0041237,1.09471015047908,2.6244607374135698,2.51
2019-05-07,-4.25e-05,-0.0126424,-0.006022,0.00339847,-0.0168407,1.10110784514777,2.6679172612171196,2.45
2019-05-08,-0.0008587,0.00127146,0.00034841,-0.0018866,-0.0013902,1.10427646858246,2.6394487035903,2.49
2019-05-09,-0.0008465,-0.0050956,-0.0015107,0.00264027,-0.0030304,1.12738586130655,2.7487947407739397,2.45
2019-05-10,5.96e-05,0.00191388,0.00278713,-0.0006594,0.0050108,1.11948049535514,2.70562798897139,2.46999999999999
2019-05-13,-0.0016102,-0.0051118,-0.0092038,0.00498192,-0.0254513,1.16432673584885,2.89827308490068,2.4
2019-05-14,0.00022366,0.01336323,0.00222131,-0.0009381,0.009003,1.15954536179147,2.8149764884646697,2.42
2019-05-15,0.00053534,0.00881063,0.00093382,0.00318591,0.00584036,1.17119232414518,2.88095660553721,2.37
2019-05-16,0.00078466,0.00562326,0.00302889,-0.0019666,0.00921859,1.16185264069035,2.7882087514991003,2.4
2019-05-17,0.00029979,-0.0093897,-0.000349,0.00046858,-0.0064861,1.16984430321117,2.81110412502498,2.39
2019-05-20,-4.35e-05,0.00439285,-0.0009313,-0.0016879,-0.006634,1.17459067777045,2.7882107806294103,2.41
2019-05-21,0.00082233,0.00062598,0.00313972,-0.0011269,0.00897527,1.17435989888383,2.75570549760765,2.43
2019-05-22,0.00032038,-0.0144976,0.00081239,0.00300216,-0.0030762,1.18729470545359,2.82061225610064,2.39
2019-05-23,-0.0003191,-0.021175,-0.0050009,0.00607053,-0.0122939,1.21072665374682,2.9328663779590602,2.31
2019-05-24,0.00021243,0.01352678,-0.0014001,-0.0002794,0.00226581,1.2144707296593,2.88807958435466,2.32
2019-05-28,0.00073666,0.00828294,-0.0009345,0.00436783,-0.009344,1.23203873628442,2.96995017312316,2.26
2019-05-29,-0.0009384,-0.0038144,-0.0026915,-0.000371,-0.0067333,1.2448949999321899,3.0066594594353897,2.25
2019-05-30,0.00068126,-0.0102434,0.00210699,0.00361128,0.00272744,1.24209903377587,3.01646478352556,2.22
2019-05-31,-0.0006239,-0.0267378,-0.0072762,0.00663291,-0.0135669,1.26866860665429,3.2050609410184303,2.14
2019-06-03,0.00016899,-0.0033102,0.00161002,0.00478814,-0.0025462,1.28983978255045,3.26207895518948,2.07
2019-06-04,0.00043775,0.00595043,0.00999127,-0.0036691,0.02147443,1.26475808357917,3.05342942864548,2.12
2019-06-05,0.00071975,-0.0206468,0.00233645,0.0,0.00862487,1.2477029926467,3.0741283018406396,2.12
2019-06-06,0.00091271,0.01734533,0.00209815,-0.0001838,0.00648163,1.23766410753602,3.04362209983326,2.12
2019-06-07,0.00192977,0.00330142,0.00255844,0.00394442,0.00995728,1.23568802993918,2.8803685190888,2.09
2019-06-10,0.00067492,-0.0026403,0.00150873,-0.005002,0.00457841,1.22495395458919,2.84411018494885,2.15
2019-06-11,0.00125752,0.00658764,0.00139066,0.0,-0.0002423,1.23696791950421,2.85656658838165,2.15
2019-06-12,0.00070906,-0.0138845,-0.0023188,0.00261882,-0.0017669,1.25419225530294,2.93330123935789,2.13
2019-06-13,0.00050464,0.01257046,0.00231884,0.00247468,0.00411787,1.26908115201592,2.930716846008,2.1
2019-06-14,0.00068997,0.00393701,-0.0006951,0.00073206,-0.0011057,1.27979552339115,2.9421808801533897,2.09
2019-06-17,0.00032134,-0.0045947,-0.0015077,-0.000183,0.00038021,1.26192068595042,2.92009312898598,2.09
2019-06-18,0.00183723,0.01177254,0.00693965,0.00191947,0.01041658,1.24674283951983,2.8700427453416397,2.06
2019-06-19,0.00018194,-0.0019525,0.00471455,0.00273573,0.00225464,1.2517808557933099,2.9314505487055196,2.03
2019-06-20,0.00295378,0.01999422,0.00503491,0.00163785,0.009509,1.19807416320187,2.7824715319767,2.01
2019-06-21,-0.0012802,0.00255102,-0.0032011,-0.0040997,-0.0014372,1.2009952607,2.83850596360189,2.07
2019-06-24,0.00100482,0.00444869,-0.0001145,0.00346305,-0.0012252,1.19366695146362,2.86698337679368,2.02
2019-06-25,-0.0003253,0.00316556,-0.0042463,0.00154538,-0.0098563,1.22211678092967,2.92474690826598,2.0
2019-06-26,-0.0001962,0.00504415,-0.0004601,-0.0040959,-0.0009979,1.20138506395893,2.8367340391702403,2.05
2019-06-27,0.0012676,0.0,0.00275767,0.00300533,0.00353971,1.18020738375753,2.88201743355674,2.01
2019-06-28,0.00096265,-0.0107494,0.00034417,0.00045457,0.0051326,1.1529280360874201,2.85129694723262,2.0
2019-07-01,0.0036475,-0.0006359,0.00030609,-0.0012509,0.00903754,1.12650479787916,2.78522430992034,2.03
2019-07-02,0.00101435,-0.0166777,0.00218604,0.00354917,0.00260096,1.13822920391271,2.85401340555089,1.98
2019-07-03,0.00159774,0.00965569,0.00378549,0.00190589,0.00796335,1.13557057215604,2.8316222158785003,1.96
2019-07-05,-0.0008758,0.00192,-0.0040154,-0.0063671,-0.0011385,1.14014049533657,2.75842331219705,2.04
2019-07-08,0.00073823,-0.0012796,-0.0019562,-0.0010042,-0.00551,1.1504545703393,2.79832431326371,2.05
2019-07-09,-0.0004895,0.00319591,-0.0011525,-0.0006396,0.00124577,1.15892597039317,2.80715753825854,2.07
2019-07-10,8.58e-05,0.02146547,0.00276371,0.00054825,0.00476671,1.14726070883664,2.8082029208777697,2.07
2019-07-11,-0.0007687,0.00062441,-0.0019568,-0.0049451,0.00234145,1.13289941535663,2.7645151644198,2.13
2019-07-12,0.00026923,0.00249377,0.00161179,0.00110102,0.00446697,1.1462380629602,2.80287996361028,2.12
2019-07-15,0.0010908,-0.0106417,0.00068997,0.0021069,0.00033256,1.15590130972122,2.8150104242801803,2.09
2019-07-16,-4.64e-05,-0.0107562,-0.0020713,-0.0021986,-0.003464,1.15654923691394,2.80162928813056,2.13
2019-07-17,0.00047229,-0.0089457,-0.0012679,0.00466628,-0.0065947,1.16067961427876,2.87761382657841,2.06
2019-07-18,-0.0009638,-0.0070854,0.00046125,0.0024616,0.00365423,1.167986083085,2.9392153665677396,2.04
2019-07-19,0.00015007,0.00580085,-0.0017308,-0.0018228,-0.0055705,1.14621415118016,2.86288955056055,2.05
2019-07-22,0.00028382,-0.0032185,0.00334352,0.00045602,0.00245349,1.14262979723241,2.87279978582171,2.05
2019-07-23,4.74e-05,0.00642676,0.00172503,-0.0016426,0.00712461,1.13010705589054,2.8213604021666,2.08
2019-07-24,0.00076839,-0.0044944,0.000804,0.00146025,0.00468852,1.1292414204506,2.83529644844278,2.05
2019-07-25,-5.9e-05,-0.0038685,-0.0013787,-0.0017343,-0.0047885,1.12989390004168,2.7934777131931297,2.08
2019-07-26,0.00083767,0.00129116,0.00218203,-0.0001827,0.00667765,1.11431711607925,2.7831514684445398,2.08
2019-07-29,0.00099661,0.00386349,-0.0014925,0.00091333,-0.0018228,1.12249502893397,2.80485657598888,2.06
2019-07-30,0.00016634,0.0057674,0.00045945,0.00045635,-0.0024577,1.13717714010093,2.8342019304431396,2.06
2019-07-31,0.00149856,-0.0064103,-0.001724,0.00255172,-0.0110007,1.13171795723684,2.8203426938210496,2.02
2019-08-01,0.00029903,-0.0280423,-0.0004836,0.01125623,-0.0087461,1.16147505386781,2.9705531543706702,1.9
2019-08-02,-0.0003351,0.00132188,-0.0015037,0.00207142,-0.007558,1.18256624951731,2.98402219398295,1.85999999999999
2019-08-05,-0.0019723,-0.0086236,-0.0104725,0.00859989,-0.0305346,1.2807852778210198,3.3541592331271897,1.75
2019-08-06,0.00047136,-0.005344,0.00641289,0.00160428,0.01392556,1.25512339711648,3.1748295612394997,1.73
2019-08-07,9.38e-05,-0.0128077,-0.0001162,0.0,0.00059051,1.28862195804307,3.23202917859569,1.71
2019-08-08,0.00033703,0.00541273,0.00394432,8.91e-05,0.01943011,1.28006440157529,3.1336629681246304,1.72
2019-08-09,3.5e-05,0.00873368,-0.0013903,-0.0015149,-0.0068348,1.2678052773014,3.1327080502288,1.74
2019-08-12,-0.0022513,-0.0073851,-0.0034843,0.00631197,-0.0122481,1.28858717600366,3.23474409681559,1.65
2019-08-13,-0.0028667,0.02331108,0.00441143,-0.0035511,0.01543209,1.26660925226516,3.07293555749674,1.68
2019-08-14,-0.0022089,-0.0152573,-0.0089593,0.00664808,-0.0300135,1.30989095278662,3.3574547772001604,1.58999999999999
2019-08-15,0.00074109,-0.0080537,0.00291767,0.00634084,0.00263829,1.32115929879594,3.30421039965791,1.52
2019-08-16,4.82e-05,-0.0006741,0.00337386,-0.0026371,0.01464717,1.3073679907017002,3.2694114938010603,1.55
2019-08-19,-0.0008213,0.00470906,0.00289939,-0.0047644,0.01197578,1.28495104567424,3.17075445498481,1.6
2019-08-20,0.00120453,0.00268097,0.00081033,0.00441229,-0.0076921,1.28091582309812,3.2247622329105297,1.55
2019-08-21,0.00136731,0.00334113,0.00427228,-0.002645,0.00810249,1.25770876352241,3.1112896575775197,1.58999999999999
2019-08-22,-0.0001808,-0.0046807,0.00184183,-0.0022096,-0.0003078,1.23915926490138,3.06134010947277,1.62
2019-08-23,0.00053968,-0.0074,-0.004611,0.00670197,-0.0260232,1.25797648233119,3.23332708500292,1.52
2019-08-26,-0.0005366,-0.0006754,0.00495593,-0.0009672,0.01099775,1.2537108645248098,3.1248242632913,1.54
2019-08-27,0.00123427,0.00673403,-0.00046,0.00430146,-0.0039313,1.26604111923233,3.1657430138228397,1.49
2019-08-28,-0.000359,0.00868699,0.00241255,0.00035032,0.00701684,1.2880653109440399,3.15475161350444,1.47
2019-08-29,-0.0009835,0.00265781,0.00103217,-0.0019283,0.01269214,1.28409052125041,3.10828914127803,1.5
2019-08-30,4.44e-05,-0.0160539,-0.0009174,0.00026317,-0.0004352,1.2905421988339,3.1342287284243504,1.5
2019-09-03,-0.0001691,-0.0054091,-0.0028519,0.00219414,-0.0058392,1.3146868034361798,3.22364728705956,1.47
2019-09-04,0.00079353,0.02345166,0.0020778,0.00157673,0.01101393,1.30232571951083,3.1552204876796703,1.47
2019-09-05,-0.0002813,-0.0013254,0.003913,-0.0080851,0.01277649,1.2938462373141,3.0441098177838,1.56999999999999
2019-09-06,0.00202928,0.00264901,0.00091848,0.00061747,0.00100705,1.29417497709932,3.0354289191536297,1.55
2019-09-09,-5.91e-05,0.00921666,0.00103229,-0.006192,0.00050314,1.27864941054336,2.95678881937874,1.63
2019-09-10,0.00033961,0.00130976,0.00057303,-0.0073026,-0.0002348,1.28177001166756,2.89907273322501,1.72
2019-09-11,0.00100618,-0.007225,-0.0001146,-0.0009837,0.00708583,1.28530372328169,2.94885629659858,1.75
2019-09-12,0.00039293,-0.003963,0.00057277,-0.0022392,0.0034578,1.27012350991594,2.89796720343462,1.79
2019-09-13,-0.0013414,0.0,-0.001834,-0.0091884,-0.000664,1.25454947997903,2.8427254556105903,1.9
2019-09-16,0.00180784,0.04338654,0.00355037,0.00433448,-0.0030936,1.26393140850774,2.86963759306346,1.83999999999999
2019-09-17,0.00044259,-0.0191944,0.00057146,0.00260968,0.00252878,1.25889729450974,2.8766218179080196,1.81
2019-09-18,0.00077269,-0.0064809,-0.0005715,0.00035942,0.00059799,1.26455058434308,2.87882390780193,1.8
2019-09-19,0.00026547,0.00518808,-0.0011439,0.0004491,-6.64e-05,1.2551622234826,2.89053621925023,1.79
2019-09-20,0.00071798,0.00129283,0.00125822,0.00573067,-0.0047047,1.23784416714329,2.91348603076497,1.74
2019-09-23,0.00054839,0.00258065,-0.0004574,0.00142755,-0.0002347,1.2344542877235098,2.9035495362122,1.72
2019-09-24,0.00050745,-0.0116657,-0.0013733,0.00498044,-0.0078778,1.26153116868963,3.00956909300435,1.64
2019-09-25,-0.0016119,-0.0058843,-0.0010312,-0.0065866,0.00589734,1.25752774518593,2.9334662231572004,1.73
2019-09-26,0.0008245,0.0,-0.0006881,0.00214095,-0.0020854,1.25470351775052,2.9914359061542,1.7
2019-09-27,0.00071316,-0.0039422,-0.0011478,0.00142476,-0.0054018,1.24254809905912,3.00794858283995,1.69
2019-09-30,0.00039068,-0.009924,0.00114784,0.00080053,0.00462706,1.23223529979821,3.01262477402396,1.68
2019-10-01,-6.57e-05,-0.0006651,-0.0022886,0.00276012,-0.011966,1.23034385440032,3.0862008566621397,1.65
2019-10-02,-0.0012135,-0.008687,-0.0059052,0.0034573,-0.0178226,1.24768634017842,3.2055959428893903,1.6
